"","HANDLE","vacantBinary","cityStatus"
"1",10001000005,TRUE,FALSE
"2",10001000010,TRUE,FALSE
"3",10001000032,TRUE,FALSE
"4",10014000005,TRUE,FALSE
"5",10014000010,TRUE,FALSE
"6",10014000020,TRUE,FALSE
"7",10014000035,TRUE,FALSE
"8",10014000040,TRUE,FALSE
"9",10014000050,TRUE,FALSE
"10",10014000060,TRUE,FALSE
"11",10014000070,TRUE,FALSE
"12",10014000080,TRUE,FALSE
"13",10015000010,TRUE,FALSE
"14",10015000095,TRUE,FALSE
"15",10016000020,TRUE,FALSE
"16",10016000025,TRUE,FALSE
"17",10016000045,TRUE,FALSE
"18",10016000055,TRUE,FALSE
"19",10016000060,TRUE,FALSE
"20",10016000101,TRUE,FALSE
"21",10016000110,TRUE,FALSE
"22",10017000080,TRUE,FALSE
"23",10018000010,TRUE,FALSE
"24",10018000020,TRUE,FALSE
"25",10018000030,TRUE,FALSE
"26",10018000050,TRUE,FALSE
"27",10018000065,TRUE,FALSE
"28",10018000080,TRUE,FALSE
"29",10018000086,TRUE,FALSE
"30",10018000087,TRUE,FALSE
"31",10018000088,TRUE,FALSE
"32",10018000089,TRUE,FALSE
"33",10018000091,TRUE,FALSE
"34",10018000092,TRUE,FALSE
"35",10019000015,TRUE,TRUE
"36",10019000045,TRUE,FALSE
"37",10019000055,TRUE,FALSE
"38",10019000065,TRUE,FALSE
"39",10020000020,TRUE,FALSE
"40",10020000030,TRUE,TRUE
"41",10020000040,TRUE,FALSE
"42",10020000055,TRUE,FALSE
"43",10021000020,TRUE,FALSE
"44",10021000030,TRUE,FALSE
"45",10022000015,TRUE,FALSE
"46",10022000017,TRUE,FALSE
"47",10022000025,TRUE,FALSE
"48",10023000025,TRUE,TRUE
"49",10024000015,TRUE,FALSE
"50",10025000015,TRUE,FALSE
"51",10025000045,TRUE,FALSE
"52",10027000050,TRUE,FALSE
"53",10027000060,TRUE,FALSE
"54",10027000080,TRUE,FALSE
"55",10040000010,TRUE,FALSE
"56",10040000040,TRUE,FALSE
"57",10041000010,TRUE,FALSE
"58",10041000020,TRUE,FALSE
"59",10041000040,TRUE,TRUE
"60",10041000070,TRUE,TRUE
"61",10041000080,TRUE,TRUE
"62",10041000090,TRUE,FALSE
"63",10041000110,TRUE,FALSE
"64",10041000115,TRUE,FALSE
"65",10041000120,TRUE,FALSE
"66",10041000130,TRUE,FALSE
"67",10041000150,TRUE,FALSE
"68",10041000160,TRUE,FALSE
"69",10041000170,TRUE,TRUE
"70",10043000020,TRUE,FALSE
"71",10044030020,TRUE,FALSE
"72",10044040030,TRUE,FALSE
"73",10044040050,TRUE,TRUE
"74",10044040080,TRUE,FALSE
"75",10047000040,TRUE,FALSE
"76",10048000020,TRUE,FALSE
"77",10048000050,TRUE,FALSE
"78",10048000060,TRUE,FALSE
"79",10048000070,TRUE,FALSE
"80",10049000010,TRUE,FALSE
"81",10049000050,TRUE,FALSE
"82",10049000070,TRUE,FALSE
"83",10049000080,TRUE,FALSE
"84",10049000090,TRUE,FALSE
"85",10049000100,TRUE,FALSE
"86",10049000110,TRUE,FALSE
"87",10050000010,TRUE,FALSE
"88",10050000040,TRUE,FALSE
"89",10050000050,TRUE,FALSE
"90",10050000105,TRUE,FALSE
"91",10050000125,TRUE,FALSE
"92",10050000135,TRUE,FALSE
"93",10051000010,TRUE,FALSE
"94",10051000020,TRUE,FALSE
"95",10051000035,TRUE,TRUE
"96",10052000010,TRUE,FALSE
"97",10052000040,TRUE,FALSE
"98",10052000050,TRUE,TRUE
"99",10052000060,TRUE,FALSE
"100",10052000070,TRUE,FALSE
"101",10052000080,TRUE,TRUE
"102",10052000090,TRUE,FALSE
"103",10052000100,TRUE,TRUE
